,Density,Efficiency,# of connected components,# of cluster,Fraction of nodes in the largest connected component,Connected components entropy,Fraction of nodes in the center,Fraction of nodes in the periphery,Fraction of nodes in the barycenter,Transitivity,Average clustering coefficient,Average square clustering,Modularity,Assortativity coefficient analysis,Shortest path length analysis,Average eccentricity,Average degree,Average communicability,Average node similarity,Average node betweenness centrality,Average edge betweenness centrality
pre2_09DIV_CS1_FOV4,0.20863139802646674,0.006001984753157857,0.27058823529411763,0.5460869565217391,0.591708199385078,0.49102336744377784,0.010100361472539055,0.010509221076259873,0.005820382981200161,0.6326073030108904,0.38299793506176266,0.36467278666340436,0.6830475079703047,0.9299552272171403,0.08625749233753574,0.11562482094768808,0.2136150234741784,3.070303089669451e-17,0.0,0.3955823275950291,0.5386670978989668
pre1_09DIV_CS1_FOV1,0.4403619981558654,0.10063518347110902,0.12941176470588237,0.231304347826087,0.5490870773267483,0.528707379528767,0.012297097884899163,0.01941709152546844,0.01920150425062345,0.4761904761904762,0.2971103600779957,0.2608170601032692,0.416710303797466,0.9265082342588334,0.10379413461821127,0.1329468145715339,0.4619289340101522,2.4564006914233674e-10,0.0,0.34883221064731484,0.5528249556141507
pre3_09DIV_CS4_FOV1,0.44346039730107145,0.042493241124584066,0.06764705882352942,0.4973913043478261,0.9196412503877338,0.1348243559248477,0.007929618189444971,0.003383636411159346,0.00419081407998714,0.7763975155279503,0.7535182810056743,0.8196619858338096,0.4256406098191099,0.8844184946796684,0.03096226477322738,0.043804906149488745,0.4148936170212766,4.304653059971235e-16,0.0,0.7693795073711577,0.7040006997851298
pre3_09DIV_CS5_FOV1,0.23487145699141676,0.01168862763210253,0.24117647058823527,0.8417391304347827,0.8492949170440403,0.2146200233394649,8.855718546190794e-05,0.008064504490462726,0.0008716921462281011,0.8044069515511917,0.7086206618254997,0.6067664778204603,0.31594347777969034,1.0,0.016359509417176094,0.021940424540663306,0.23293515358361774,3.2007738060860396e-17,0.0,0.4810293319505474,0.43372479912264783
pre3_09DIV_CS4_FOV3,0.22886297953528273,0.016580934179095994,0.2,0.8834782608695653,0.8037444062585871,0.2407100928657182,0.057024969906827865,0.019975816855382095,0.001067906161818553,0.7551707551707552,0.7165478738974485,0.6054254891894086,0.5858411541610744,0.8624972538925313,0.015090936847322947,0.01781489739616795,0.22902684563758388,5.5492467015846433e-17,0.0,0.397250270051869,0.3619300387928021
pre3_09DIV_CS5_FOV3,0.13749793647051,0.3115131072184373,0.48823529411764705,0.22260869565217392,0.07798581908248117,0.9073176115307958,0.12053692599995065,0.09367730468647899,0.08872470083041267,0.6912442396313364,0.2170491781330849,0.26284062265027963,0.8500749943370871,0.7740881417295656,0.2337999300615775,0.27695040306052743,0.1449044585987261,0.0005812736058782088,0.0,0.0032520173132009065,0.01067851341740092
pre3_09DIV_CS5_FOV2,0.18982952948608375,0.015995414379231757,0.3411764705882353,0.4156521739130435,0.5417219116743247,0.5514757697193986,0.004988382537678032,0.007696169821323867,0.008228253447171645,0.5572441742654509,0.2996868102995267,0.231912638861719,0.6408831554660654,0.8178801989867077,0.09803072155206705,0.12269982238010657,0.24266666666666667,8.739459578464649e-17,0.0,0.33184325894245237,0.5610270089684644
pre1_09DIV_CS1_FOV2,0.600882308771039,0.0856010814089231,0.06176470588235294,0.3930434782608696,0.9195239393352472,0.13886726607208033,0.01748488559494224,0.022172961987953037,0.006155086967133958,0.7440476190476191,0.7706341849356715,0.7466725217943713,0.26345889439389847,0.854341848686612,0.02617581379738937,0.03392539964476021,0.6816479400749064,1.0818383300961334e-11,0.0,0.6930376633523314,0.6031871963777665
pre3_09DIV_CS4_FOV2,0.14397198848817563,0.1195261142146282,0.6,0.2956521739130435,0.28230906008696993,0.7816235957318501,0.011599409917198059,0.042242161508216546,0.018154000730727073,0.7948442534908701,0.3907375743882885,0.31007858717569436,0.5258499312324272,0.7980052218410474,0.09988224683008673,0.14377610292352744,0.11548223350253806,4.232622734558589e-10,0.0,0.04762510515516791,0.10149834861980439
pre2_09DIV_CS1_FOV2,0.6393695335197083,0.08725183563165141,0.02058823529411765,0.44,0.9757077217026293,0.05010509734301406,0.02162737279624529,0.004360694761899746,0.0051055464366148795,0.7293619101947681,0.7798288416785513,0.8439101710869863,0.20330943630354437,0.9061971241815511,0.018797953638209346,0.029915979803221096,0.65,2.1122681276210412e-11,0.0,0.7245653471167213,0.5683669040117162
