,Density,Efficiency of the LCC,# of connected components,# of communities,Fraction of nodes in the LCC,Connected components entropy,Fraction of nodes in the center in the LCC,Fraction of nodes in the periphery in the LCC,Fraction of nodes in the barycenter in the LCC,Transitivity,Average clustering coefficient,Average square clustering,Modularity,Mean Assortativity coefficient of the LCC,Mean shortest path length of the LCC,Average eccentricity of the LCC,Average degree,Average communicability of the LCC,Average node similarity of the LCC,Average node betweenness centrality,Average edge betweenness centrality
pre1_05DIV_CS3_FOV3,0.0019095357441222102,0.44023809523809515,242.0,101.0,0.04664723032069971,0.9602303083538763,0.0625,0.1875,0.0625,0.25471698113207547,0.04237123420796891,0.006793310730885762,0.9438775510204077,-0.0763888888888881,0.21,0.4,0.6530612244897959,0.012565505653019388,0.0,1.819938759060758e-05,9.864310923080316e-05
pre1_05DIV_CS2_FOV2,0.0010074785910799396,0.5992063492063491,321.0,73.0,0.017766497461928935,0.9806195033412447,0.14285714285714285,0.5714285714285714,0.14285714285714285,0.3125,0.02749576988155668,0.0,0.9615384615384607,-0.4259259259259255,0.35714285714285715,0.6666666666666666,0.39593908629441626,0.11060473120967267,0.0,2.6030484267175305e-06,3.4774902058972253e-05
pre3_05DIV_CS6_FOV2,0.0022483968769284432,0.2952696199811573,273.0,338.0,0.06546644844517185,0.8755062525947703,0.075,0.075,0.025,0.291497975708502,0.10919647728158366,0.024229672902935654,0.9521704706626207,0.3063307493540046,0.12938856015779093,0.2564102564102564,1.3715220949263502,8.71846052920791e-05,0.0,7.368037388604361e-05,0.00014182390744587684
pre1_05DIV_CS3_FOV2,0.0007326007326007326,0.6666666666666667,307.0,44.0,0.014245014245014245,0.9890261280797384,0.4,0.6,0.2,0.1875,0.008547008547008548,0.0,0.9590123456790127,-0.6666666666666666,0.45,0.75,0.2564102564102564,0.5040059310273506,0.0,8.86304611232978e-07,2.894225116447339e-05
pre2_05DIV_CS3_FOV2,0.002136166564777143,0.26622004638133606,266.0,268.0,0.05805243445692884,0.9012924101558943,0.06451612903225806,0.0967741935483871,0.03225806451612903,0.1889168765743073,0.05980024968789013,0.017554226340563465,0.9590492988227148,-0.26218097447795974,0.1989247311827957,0.4,1.1385767790262171,1.2702804469058448e-05,0.0,6.103597210028677e-05,0.0001436808709168836
pre2_05DIV_CS3_FOV3,0.002383688758353552,0.19134614324644875,247.0,327.0,0.13414634146341464,0.8454343238169536,0.09090909090909091,0.12987012987012986,0.012987012987012988,0.250386398763524,0.09976771196283395,0.0190619578338062,0.9459958090378991,0.09876543209876466,0.10446720869158542,0.18421052631578946,1.3658536585365855,1.3868370473498587e-08,0.0,0.00025477863557291477,0.0004398680135352023
pre2_05DIV_CS3_FOV1,0.003023936847466259,0.14900300581533502,188.0,373.0,0.23707664884135474,0.7338401577793083,0.015037593984962405,0.05263157894736842,0.007518796992481203,0.27006507592190887,0.14115949410067058,0.02203448416137143,0.924609418282549,0.1668645385682995,0.07981558579644704,0.15151515151515152,1.6934046345811051,1.633146680160547e-12,0.0,0.001124889702181084,0.0014821143768512179
pre1_05DIV_CS3_FOV4,0.0009228630327436598,0.523148148148148,333.0,76.0,0.022004889975550123,0.9820165457047078,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.09375,0.005704971475142624,0.0,0.9657615112160565,-0.19999999999999962,0.3090277777777778,0.5,0.3765281173594132,0.07721402900015817,0.0,2.5914019873461836e-06,3.408787386926317e-05
pre1_05DIV_CS2_FOV4,0.0016099577085736255,0.49636363636363656,229.0,60.0,0.03806228373702422,0.9738388129783928,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.3333333333333333,0.039215686274509796,0.019377162629757784,0.9366228558699038,-0.40624999999999944,0.2636363636363636,0.4,0.46366782006920415,0.05952176437316788,0.0,9.795883920282604e-06,8.966126690652848e-05
pre2_05DIV_CS4_FOV3,0.0022624434389140274,0.4033228676085823,193.0,80.0,0.05128205128205128,0.9533225172888296,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.17391304347826086,0.02808302808302808,0.0031070120355834643,0.9336734693877551,-0.25301204819277073,0.26120033812341503,0.46153846153846156,0.6153846153846154,0.010600097965559,0.0,3.746886208357883e-05,0.00020008003201280516
